,Date [YYYY-MM],Temperature [Â°C],QCFLAG
0,1950-01,,C
1,1950-02,,C
2,1950-03,,C
3,1950-04,,C
4,1950-05,,C
5,1950-06,,C
6,1950-07,,C
7,1950-08,,C
8,1950-09,,C
9,1950-10,,C
10,1950-11,,C
11,1950-12,,C
12,1951-01,,C
13,1951-02,,C
14,1951-03,,C
15,1951-04,,C
16,1951-05,,C
17,1951-06,,C
18,1951-07,,C
19,1951-08,,C
20,1951-09,,C
21,1951-10,,C
22,1951-11,,C
23,1951-12,,C
24,1952-01,,C
25,1952-02,,C
26,1952-03,,C
27,1952-04,,C
28,1952-05,,C
29,1952-06,,C
30,1952-07,,C
31,1952-08,,C
32,1952-09,,C
33,1952-10,,C
34,1952-11,,C
35,1952-12,,C
36,1953-01,,C
37,1953-02,,C
38,1953-03,,C
39,1953-04,,C
40,1953-05,,C
41,1953-06,,C
42,1953-07,,C
43,1953-08,,C
44,1953-09,,C
45,1953-10,,C
46,1953-11,,C
47,1953-12,,C
48,1954-01,,C
49,1954-02,,C
50,1954-03,,C
51,1954-04,,C
52,1954-05,,C
53,1954-06,,C
54,1954-07,,C
55,1954-08,,C
56,1954-09,,C
57,1954-10,,C
58,1954-11,,C
59,1954-12,,C
60,1955-01,,C
61,1955-02,,C
62,1955-03,,C
63,1955-04,,C
64,1955-05,,C
65,1955-06,,C
66,1955-07,,C
67,1955-08,,C
68,1955-09,,C
69,1955-10,,C
70,1955-11,,C
71,1955-12,,C
72,1956-01,,C
73,1956-02,,C
74,1956-03,,C
75,1956-04,,C
76,1956-05,,C
77,1956-06,,C
78,1956-07,,C
79,1956-08,,C
80,1956-09,,C
81,1956-10,,C
82,1956-11,,C
83,1956-12,,C
84,1957-01,,C
85,1957-02,,C
86,1957-03,,C
87,1957-04,,C
88,1957-05,,C
89,1957-06,,C
90,1957-07,,C
91,1957-08,,C
92,1957-09,,C
93,1957-10,,C
94,1957-11,,C
95,1957-12,,C
96,1958-01,,C
97,1958-02,,C
98,1958-03,,C
99,1958-04,,C
100,1958-05,,C
101,1958-06,,C
102,1958-07,,C
103,1958-08,,C
104,1958-09,,C
105,1958-10,,C
106,1958-11,,C
107,1958-12,,C
108,1959-01,,C
109,1959-02,,C
110,1959-03,,C
111,1959-04,,C
112,1959-05,,C
113,1959-06,,C
114,1959-07,,C
115,1959-08,,C
116,1959-09,,C
117,1959-10,,C
118,1959-11,,C
119,1959-12,,C
120,1960-01,,C
121,1960-02,,C
122,1960-03,,C
123,1960-04,,C
124,1960-05,,C
125,1960-06,,C
126,1960-07,,C
127,1960-08,,C
128,1960-09,,C
129,1960-10,,C
130,1960-11,,C
131,1960-12,,C
132,1961-01,,C
133,1961-02,,C
134,1961-03,,C
135,1961-04,,C
136,1961-05,,C
137,1961-06,,C
138,1961-07,,C
139,1961-08,,C
140,1961-09,,C
141,1961-10,,C
142,1961-11,,C
143,1961-12,,C
144,1962-01,,C
145,1962-02,,C
146,1962-03,,C
147,1962-04,,C
148,1962-05,,C
149,1962-06,,C
150,1962-07,,C
151,1962-08,,C
152,1962-09,,C
153,1962-10,,C
154,1962-11,,C
155,1962-12,,C
156,1963-01,,C
157,1963-02,,C
158,1963-03,,C
159,1963-04,,C
160,1963-05,,C
161,1963-06,,C
162,1963-07,,C
163,1963-08,,C
164,1963-09,,C
165,1963-10,,C
166,1963-11,,C
167,1963-12,,C
168,1964-01,,C
169,1964-02,,C
170,1964-03,,C
171,1964-04,,C
172,1964-05,,C
173,1964-06,,C
174,1964-07,,C
175,1964-08,,C
176,1964-09,,C
177,1964-10,,C
178,1964-11,,C
179,1964-12,,C
180,1965-01,,C
181,1965-02,,C
182,1965-03,,C
183,1965-04,,C
184,1965-05,,C
185,1965-06,,C
186,1965-07,,C
187,1965-08,,C
188,1965-09,,C
189,1965-10,,C
190,1965-11,,C
191,1965-12,,C
192,1966-01,,C
193,1966-02,,C
194,1966-03,,C
195,1966-04,,C
196,1966-05,,C
197,1966-06,,C
198,1966-07,,C
199,1966-08,,C
200,1966-09,,C
201,1966-10,,C
202,1966-11,,C
203,1966-12,,C
204,1967-01,,C
205,1967-02,,C
206,1967-03,,C
207,1967-04,,C
208,1967-05,,C
209,1967-06,,C
210,1967-07,,C
211,1967-08,,C
212,1967-09,,C
213,1967-10,,C
214,1967-11,,C
215,1967-12,,C
216,1968-01,,C
217,1968-02,,C
218,1968-03,,C
219,1968-04,,C
220,1968-05,,C
221,1968-06,,C
222,1968-07,,C
223,1968-08,,C
224,1968-09,,C
225,1968-10,,C
226,1968-11,,C
227,1968-12,,C
228,1969-01,,C
229,1969-02,,C
230,1969-03,,C
231,1969-04,,C
232,1969-05,,C
233,1969-06,,C
234,1969-07,,C
235,1969-08,,C
236,1969-09,,C
237,1969-10,,C
238,1969-11,,C
239,1969-12,,C
240,1970-01,,C
241,1970-02,,C
242,1970-03,,C
243,1970-04,,C
244,1970-05,,C
245,1970-06,,C
246,1970-07,,C
247,1970-08,,C
248,1970-09,,C
249,1970-10,,C
250,1970-11,,C
251,1970-12,,C
252,1971-01,,C
253,1971-02,,C
254,1971-03,,C
255,1971-04,,C
256,1971-05,,C
257,1971-06,,C
258,1971-07,,C
259,1971-08,,C
260,1971-09,,C
261,1971-10,,C
262,1971-11,,C
263,1971-12,,C
264,1972-01,,C
265,1972-02,,C
266,1972-03,,C
267,1972-04,,C
268,1972-05,,C
269,1972-06,,C
270,1972-07,,C
271,1972-08,,C
272,1972-09,,C
273,1972-10,,C
274,1972-11,,C
275,1972-12,,C
276,1973-01,,C
277,1973-02,,C
278,1973-03,,C
279,1973-04,,C
280,1973-05,,C
281,1973-06,,C
282,1973-07,,C
283,1973-08,,C
284,1973-09,,C
285,1973-10,,C
286,1973-11,,C
287,1973-12,,C
288,1974-01,,C
289,1974-02,,C
290,1974-03,,C
291,1974-04,,C
292,1974-05,,C
293,1974-06,,C
294,1974-07,,C
295,1974-08,,C
296,1974-09,,C
297,1974-10,,C
298,1974-11,,C
299,1974-12,,C
300,1975-01,,C
301,1975-02,,C
302,1975-03,,C
303,1975-04,,C
304,1975-05,,C
305,1975-06,,C
306,1975-07,,C
307,1975-08,,C
308,1975-09,,C
309,1975-10,,C
310,1975-11,,C
311,1975-12,,C
312,1976-01,,C
313,1976-02,,C
314,1976-03,,C
315,1976-04,,C
316,1976-05,,C
317,1976-06,,C
318,1976-07,,C
319,1976-08,,C
320,1976-09,,C
321,1976-10,,C
322,1976-11,,C
323,1976-12,,C
324,1977-01,,C
325,1977-02,,C
326,1977-03,,C
327,1977-04,,C
328,1977-05,,C
329,1977-06,,C
330,1977-07,,C
331,1977-08,,C
332,1977-09,,C
333,1977-10,,C
334,1977-11,,C
335,1977-12,,C
336,1978-01,,C
337,1978-02,,C
338,1978-03,,C
339,1978-04,,C
340,1978-05,,C
341,1978-06,,C
342,1978-07,,C
343,1978-08,,C
344,1978-09,,C
345,1978-10,,C
346,1978-11,,C
347,1978-12,,C
348,1979-01,,C
349,1979-02,,C
350,1979-03,,C
351,1979-04,,C
352,1979-05,,C
353,1979-06,,C
354,1979-07,,C
355,1979-08,,C
356,1979-09,,C
357,1979-10,, 
358,1979-11,, 
359,1979-12,,C
360,1980-01,,C
361,1980-02,,C
362,1980-03,,C
363,1980-04,,C
364,1980-05,,C
365,1980-06,,C
366,1980-07,,C
367,1980-08,,C
368,1980-09,,C
369,1980-10,,C
370,1980-11,,C
371,1980-12,,C
372,1981-01,,C
373,1981-02,,C
374,1981-03,,C
375,1981-04,,C
376,1981-05,,C
377,1981-06,,C
378,1981-07,,C
379,1981-08,,C
380,1981-09,,C
381,1981-10,,C
382,1981-11,,C
383,1981-12,,C
384,1982-01,,C
385,1982-02,,C
386,1982-03,,C
387,1982-04,,C
388,1982-05,,C
389,1982-06,,C
390,1982-07,,C
391,1982-08,,C
392,1982-09,,C
393,1982-10,,C
394,1982-11,,C
395,1982-12,,C
396,1983-01,,C
397,1983-02,,C
398,1983-03,,C
399,1983-04,,C
400,1983-05,,C
401,1983-06,,C
402,1983-07,,C
403,1983-08,,C
404,1983-09,,C
405,1983-10,,C
406,1983-11,,C
407,1983-12,,C
408,1984-01,,C
409,1984-02,,C
410,1984-03,,C
411,1984-04,,C
412,1984-05,,C
413,1984-06,,C
414,1984-07,,C
415,1984-08,,C
416,1984-09,,C
417,1984-10,,C
418,1984-11,,C
419,1984-12,,C
420,1985-01,,C
421,1985-02,,C
422,1985-03,,C
423,1985-04,,C
424,1985-05,,C
425,1985-06,,C
426,1985-07,,C
427,1985-08,,C
428,1985-09,,C
429,1985-10,,C
430,1985-11,,C
431,1985-12,,C
432,1986-01,,C
433,1986-02,,C
434,1986-03,,C
435,1986-04,,C
436,1986-05,,C
437,1986-06,,C
438,1986-07,,C
439,1986-08,,C
440,1986-09,,C
441,1986-10,,C
442,1986-11,,C
443,1986-12,,C
444,1987-01,,C
445,1987-02,,C
446,1987-03,,C
447,1987-04,,C
448,1987-05,,C
449,1987-06,,C
450,1987-07,,C
451,1987-08,,C
452,1987-09,,C
453,1987-10,,C
454,1987-11,,C
455,1987-12,,C
456,1988-01,,C
457,1988-02,,C
458,1988-03,,C
459,1988-04,,C
460,1988-05,,C
461,1988-06,,C
462,1988-07,,C
463,1988-08,,C
464,1988-09,,C
465,1988-10,,C
466,1988-11,,C
467,1988-12,,C
468,1989-01,,C
469,1989-02,,C
470,1989-03,,C
471,1989-04,, 
472,1989-05,,C
473,1989-06,,C
474,1989-07,,C
475,1989-08,,C
476,1989-09,,C
477,1989-10,,C
478,1989-11,,C
479,1989-12,,C
480,1990-01,,C
481,1990-02,,C
482,1990-03,,C
483,1990-04,,C
484,1990-05,,C
485,1990-06,,C
486,1990-07,,C
487,1990-08,,C
488,1990-09,,C
